time	V(vrec)
5.035616945832236e-005	6.215610e+002
5.040805393438773e-005	6.215596e+002
5.041008874804910e-005	6.215596e+002
5.041059745146444e-005	6.215596e+002
5.041161485829512e-005	6.215595e+002
5.041364967195648e-005	6.215594e+002
5.041771929927921e-005	6.215593e+002
5.042176425455655e-005	6.215593e+002
5.042985416511123e-005	6.215590e+002
5.043863749886732e-005	6.215588e+002
5.045620416637951e-005	6.215583e+002
5.049133750140387e-005	6.215574e+002
5.056160417145261e-005	6.215555e+002
5.057917083896479e-005	6.215551e+002
5.061430417398916e-005	6.214302e+002
5.068457084403789e-005	6.208817e+002
5.070213751155008e-005	6.208048e+002
5.070652917842812e-005	6.208042e+002
5.071531251218421e-005	6.208034e+002
5.073287917969640e-005	6.208019e+002
5.076801251472077e-005	6.207993e+002
5.226861888367636e-005	6.206914e+002
5.376922525263196e-005	6.205124e+002
5.526983162158756e-005	6.202622e+002
5.677043799054316e-005	6.199409e+002
5.827104435949876e-005	6.195485e+002
5.977165072845435e-005	6.190849e+002
6.127225709740995e-005	6.185502e+002
6.239056340892175e-005	6.175024e+002
6.366862776493522e-005	6.160955e+002
6.412365290954270e-005	6.155795e+002
6.457867805415019e-005	6.150600e+002
6.503370319875766e-005	6.145372e+002
6.548872834336515e-005	6.140111e+002
6.594375348797262e-005	6.134816e+002
6.639877863258011e-005	6.129488e+002
6.685380377718758e-005	6.124125e+002
6.749283595519432e-005	6.116577e+002
6.750032461353034e-005	6.116489e+002
6.753027924687440e-005	6.116133e+002
6.780985582475236e-005	6.112816e+002
6.812937191375573e-005	6.109020e+002
6.813311624292374e-005	6.108975e+002
6.813810868181442e-005	6.108916e+002
6.814809355959578e-005	6.108797e+002
6.816806331515848e-005	6.108559e+002
6.820800282628391e-005	6.108085e+002
6.824771291560703e-005	6.107626e+002
6.828437095033159e-005	6.116230e+002
6.835172981955806e-005	6.151691e+002
6.846041685235529e-005	6.203445e+002
6.848410527549240e-005	6.207938e+002
6.853148212176662e-005	6.207902e+002
6.861577183405470e-005	6.207836e+002
6.942002293668865e-005	6.207300e+002
7.022427403932259e-005	6.206608e+002
7.102852514195654e-005	6.205761e+002
7.183277624459048e-005	6.204758e+002
7.263702734722444e-005	6.203599e+002
7.344127844985839e-005	6.202285e+002
7.424552955249233e-005	6.200815e+002
7.425619270013732e-005	6.200791e+002
7.427751899542729e-005	6.200744e+002
7.427818544215510e-005	6.200742e+002
7.427951833561073e-005	6.200739e+002
7.428218412252198e-005	6.200734e+002
7.428751569634446e-005	6.200721e+002
7.429817884398945e-005	6.200698e+002
7.430877797036368e-005	6.200674e+002
7.431990311688670e-005	6.200649e+002
7.433972246723512e-005	6.200604e+002
7.434783263604107e-005	6.200585e+002
7.436072827447905e-005	6.200555e+002
7.437531800980521e-005	6.200522e+002
7.439819569398107e-005	6.200469e+002
7.444044168228101e-005	6.200369e+002
7.448489227896637e-005	6.200264e+002
7.452502260042519e-005	6.200167e+002
7.459746992973212e-005	6.199986e+002
7.472311092245107e-005	6.199659e+002
7.494316913874024e-005	6.199061e+002
7.498519129700793e-005	6.198939e+002
7.500548034770312e-005	6.198879e+002
7.504605844909349e-005	6.198757e+002
7.512572498075366e-005	6.198513e+002
7.514564161366870e-005	6.198450e+002
7.518547487949879e-005	6.198322e+002
7.526514141115897e-005	6.198062e+002
7.526637948896352e-005	6.198057e+002
7.526668900841466e-005	6.198056e+002
7.526730804731694e-005	6.198054e+002
7.526854612512150e-005	6.198050e+002
7.527102228073061e-005	6.198041e+002
7.527597459194884e-005	6.198025e+002
7.528587921438529e-005	6.197991e+002
7.530568845925820e-005	6.197924e+002
7.534530694900402e-005	6.197786e+002
7.542454392849567e-005	6.197504e+002
7.542702008410478e-005	6.197495e+002
7.543197239532301e-005	6.197434e+002
7.543321047312757e-005	6.196274e+002
7.543568662873668e-005	6.186108e+002
7.543630566763896e-005	6.177125e+002
7.543632501260465e-005	6.175771e+002
7.543636370253605e-005	6.170430e+002
7.543637337501891e-005	6.166552e+002
7.543639271998460e-005	6.151097e+002
7.543639332451478e-005	6.149299e+002
7.543639347564732e-005	6.148351e+002
7.543639377791241e-005	6.143947e+002
7.543639438244258e-005	6.127460e+002
7.543639440133416e-005	6.125290e+002
7.543639440605705e-005	6.124030e+002
7.543639441550284e-005	6.120508e+002
7.543639441786428e-005	6.119176e+002
7.543639442258718e-005	6.115388e+002
7.543639442376790e-005	6.113887e+002
7.543639442612935e-005	5.367844e+002
7.543639443085224e-005	1.433874e+002
7.543639443132907e-005	6.906110e+001
7.543639443138867e-005	5.913731e+001
7.543639443186551e-005	1.760212e+001
7.543639443234234e-005	6.380224e+000
7.543639443281917e-005	6.286319e+000
7.543639443329600e-005	5.837239e+000
7.543639443377284e-005	6.741879e+000
7.543639443424967e-005	6.391553e+000
7.543639443472650e-005	4.286099e+000
7.543639443520333e-005	3.077752e+000
7.543639443901803e-005	1.039504e+000
7.543639443949486e-005	9.418315e-001
7.543651943949486e-005	3.184580e+002
7.543653506449487e-005	5.352910e+002
7.543653897074487e-005	5.816351e+002
7.543653994730737e-005	5.816938e+002
7.543655361918236e-005	5.819144e+002
7.543656924418236e-005	5.821492e+002
7.543660049418236e-005	5.825751e+002
7.543666299418236e-005	5.833016e+002
7.543678799418236e-005	5.844456e+002
7.543703799418236e-005	5.860771e+002
7.543753799418236e-005	5.881577e+002
7.543853799418236e-005	5.905151e+002
7.544053799418236e-005	5.928485e+002
7.544453799418236e-005	5.948041e+002
7.545253799418236e-005	5.963762e+002
7.545453799418237e-005	5.965587e+002
7.545853799418236e-005	5.967135e+002
7.546653799418237e-005	5.968969e+002
7.546853799418237e-005	5.969226e+002
7.547253799418236e-005	5.969465e+002
7.548053799418237e-005	5.969747e+002
7.548253799418237e-005	5.969781e+002
7.548653799418237e-005	5.969797e+002
7.549453799418237e-005	5.969784e+002
7.549653799418238e-005	5.969773e+002
7.550053799418237e-005	5.969739e+002
7.550853799418238e-005	5.969659e+002
7.551053799418238e-005	5.969637e+002
7.551453799418238e-005	5.969590e+002
7.552253799418238e-005	5.969493e+002
7.553853799418237e-005	5.969290e+002
7.557053799418238e-005	5.968876e+002
7.582930902496597e-005	5.965500e+002
7.608808005574957e-005	5.962114e+002
7.634685108653316e-005	5.958716e+002
7.660562211731674e-005	5.955308e+002
7.686439314810034e-005	5.951890e+002
7.712316417888394e-005	5.948460e+002
7.738193520966753e-005	5.945020e+002
7.907219077724005e-005	5.922278e+002
8.245270191238511e-005	5.875226e+002
8.365625442590215e-005	5.858688e+002
8.485980693941921e-005	5.841819e+002
8.606335945293625e-005	5.824620e+002
8.726691196645330e-005	5.807090e+002
8.847046447997035e-005	5.789229e+002
8.967401699348740e-005	5.771037e+002
9.087756950700444e-005	5.752515e+002
9.256782507457696e-005	5.726147e+002
9.257030103488101e-005	5.726107e+002
9.257360231528643e-005	5.726055e+002
9.258020487609726e-005	5.725950e+002
9.259340999771892e-005	5.725741e+002
9.261982024096224e-005	5.725323e+002
9.267264072744889e-005	5.724485e+002
9.277828170042217e-005	5.722754e+002
9.298956364636874e-005	5.719120e+002
